Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"39,128.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"39,099.20",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"39,031.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"38,907.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"38,820.47",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"38,542.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"38,357.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"38,090.50",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"38,032.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"37,887.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"37,659.76",Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,"37,536.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,"37,240.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"37,045.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"36,801.00",Subcontract
India,Baddi,"30.957826,76.791356",Cleaning,"36,604.00",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"36,533.03",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"36,429.20",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Security,"36,353.40",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"36,258.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,"36,146.48",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Fire and Security Equipment,"35,998.70",Subcontract
Australia,Claremont,"-31.981633,115.781288",Fire and Security Equipment,"35,898.16",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"35,568.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"35,462.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"35,362.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"35,353.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"35,262.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"35,257.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,"35,013.11",Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,"34,986.55",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"34,956.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"34,867.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"34,819.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"34,558.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"34,460.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"34,213.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"34,151.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,"34,010.92",Self Delivery
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"33,886.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,"33,490.26",Self Delivery
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,"33,432.00",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"33,399.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"33,085.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"32,684.00",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"32,570.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"32,282.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"32,246.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"32,219.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,"32,190.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"31,881.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,"31,747.51",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"31,607.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,"31,603.20",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"31,505.00",Subcontract
Australia,Ringwood,"-37.814262,145.227386",Cleaning,"31,502.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"31,404.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"31,395.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"31,342.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"31,286.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",Building Fabric,"31,171.52",Self Delivery
New Zealand,Dunedin,"-45.87876,170.502798",Catering,"30,908.52",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Fire and Security Equipment,"30,833.76",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Grounds Maintenance,"30,780.35",Self Delivery
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,"30,712.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"30,135.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",FM management & administration,"30,060.65",Self Delivery
India,Baddi,"30.957826,76.791356",M&E Equipment,"29,971.28",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"29,939.00",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"29,709.00",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798","E, H, S & Q, compliance","29,632.16",Self Delivery
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"29,598.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"29,440.00",Subcontract
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,"29,263.03",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"28,963.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Fire and Security Equipment,"28,882.40",Subcontract
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,"28,820.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"28,556.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,"28,487.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"28,364.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"28,256.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,"28,180.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"276,991.91",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,"27,691.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"27,689.00",Subcontract
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,"27,655.53",Subcontract
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,"27,626.10",Self Delivery
Australia,South Wharf,"-37.824997,144.951999",Cleaning,"27,423.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"26,712.00",Subcontract
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,"26,698.45",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"26,451.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,"26,382.00",Subcontract
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,"26,295.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,"26,248.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,"26,248.00",Subcontract
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,"26,248.00",Subcontract
India,Baddi,"30.957826,76.791356",M&E Equipment,"26,237.00",Subcontract
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,"26,182.00",Subcontract
India,Mumbai EC,"19.030029,72.861308",Cleaning,"25,995.00",Subcontract
Singapore,Jurong,"1.364434,103.775263",Cleaning,"25,995.00",Subcontract
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,"25,995.00",Subcontract
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,"25,858.00",Subcontract
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,"25,833.00",Subcontract
India,Baddi,"30.957826,76.791356",Building Fabric,"25,686.22",Self Delivery
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,"25,680.00",Subcontract
