Country,Site,latitude_longitude,ServiceLine,Baseline,DeliveryType,expenseSubGroup
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,102123,Subcontract,0201 Cleaning (Interior)
Australia,Ringwood,"-37.814262,145.227386",Fire and Security Equipment,99883,Subcontract,1700 Maint Fire/Life Safety
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,98653,Subcontract,0310 Other Specialized Clng
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,98243,Subcontract,0301 Window Cleaning
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,97999,Subcontract,0502 Trash Removal - Recycling
India,Mumbai EC,"19.030029,72.861308",Cleaning,97807,Subcontract,0502 Trash Removal - Recycling
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,97807,Subcontract,0301 Window Cleaning
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,97807,Subcontract,0302 Carpet Cleaning
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,97212,Subcontract,0506 Trash Removal-Confidntl
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,97027,Self Delivery,1800 Int-Bldg Repair&Maint
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,96583,Subcontract,0307 High Tech Cleaning
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,95658,Subcontract,0307 High Tech Cleaning
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,93519,Subcontract,0401 Cleaning Supplies & Mats
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,92005,Subcontract,0301 Window Cleaning
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,91398,Subcontract,0201 Cleaning (Interior)
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,90998,Subcontract,0500 Trash Removal
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,90227,Subcontract,0302 Carpet Cleaning
Australia,Ringwood,"-37.814262,145.227386",Cleaning,89750,Subcontract,0307 High Tech Cleaning
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,89603,Self Delivery,1100 Building Maint Services
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,88950,Subcontract,0401 Cleaning Supplies & Mats
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,88012,Subcontract,0401 Cleaning Supplies & Mats
Australia,Scoresby,"-37.898567,145.230362",Cleaning,87104,Subcontract,0401 Cleaning Supplies & Mats
Australia,South Wharf,"-37.824997,144.951999",Cleaning,86415,Subcontract,0404 Laundry Services
Australia,Scoresby,"-37.898567,145.230362",Cleaning,85910,Subcontract,0302 Carpet Cleaning
India,Baddi,"30.957826,76.791356",Cleaning,85780,Subcontract,0311 External Area Cleaning
Singapore,Jurong,"1.364434,103.775263",Cleaning,85733,Subcontract,0301 Window Cleaning
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,85733,Subcontract,0310 Other Specialized Clng
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,85733,Subcontract,0506 Trash Removal-Confidntl
Australia,Claremont,"-31.981633,115.781288",Building Fabric,85601,Self Delivery,1201 Goods Elevator Maint
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,84677,Subcontract,0310 Other Specialized Clng
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,84232,Subcontract,0311 External Area Cleaning
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,83276,Subcontract,0301 Window Cleaning
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,83109,Subcontract,1302 Building R/M-Boiler Maint
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,82121,Subcontract,1315 Refrigerator Sys Maint
India,Mumbai EC,"19.030029,72.861308",Cleaning,81285,Subcontract,0307 High Tech Cleaning
Singapore,Jurong,"1.364434,103.775263",Cleaning,81285,Subcontract,0502 Trash Removal - Recycling
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,81285,Subcontract,0404 Laundry Services
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,81118,Subcontract,1300 Building R/M-HVAC Maint
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,80772,Subcontract,0311 External Area Cleaning
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,80489,Subcontract,0404 Laundry Services
Australia,Ringwood,"-37.814262,145.227386",Grounds Maintenance,80479,Self Delivery,3100 Road/Ground-Landscaping
Australia,Ringwood,"-37.814262,145.227386",Cleaning,80306,Subcontract,0311 External Area Cleaning
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,79749,Subcontract,0310 Other Specialized Clng
Australia,Dandenong VDC,"-37.98746,145.214861",FM management & administration,77772,Self Delivery,5000 Admin Support Services
Australia,Ringwood,"-37.814262,145.227386",Cleaning,77720,Subcontract,0302 Carpet Cleaning
Australia,Ringwood,"-37.814262,145.227386",Cleaning,77686,Subcontract,0502 Trash Removal - Recycling
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,77483,Subcontract,0404 Laundry Services
India,Baddi,"30.957826,76.791356",Cleaning,75238,Subcontract,0307 High Tech Cleaning
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,74655,Subcontract,1400 Bldg R/M-Electrical Maint
Australia,South Wharf,"-37.824997,144.951999",Document Management,74655,Self Delivery,8250 Records Mgt Services
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,74431,Subcontract,0401 Cleaning Supplies & Mats
Australia,Claremont,"-31.981633,115.781288",Cleaning,73738,Subcontract,0302 Carpet Cleaning
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,72972,Subcontract,0307 High Tech Cleaning
Australia,Ringwood,"-37.814262,145.227386",Cleaning,72629,Subcontract,0506 Trash Removal-Confidntl
Australia,South Wharf,"-37.824997,144.951999",Cleaning,72075,Subcontract,0502 Trash Removal - Recycling
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,71722,Subcontract,0502 Trash Removal - Recycling
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,71246,Subcontract,0311 External Area Cleaning
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,71127,Subcontract,0404 Laundry Services
India,Mumbai EC,"19.030029,72.861308",Cleaning,68170,Subcontract,0506 Trash Removal-Confidntl
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,68170,Subcontract,0302 Carpet Cleaning
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,68170,Subcontract,0307 High Tech Cleaning
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,68120,Subcontract,1303 Building Chiller Maint
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,68087,Subcontract,0404 Laundry Services
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,67676,Subcontract,1180 Compressed Air System
India,Baddi,"30.957826,76.791356",Cleaning,66444,Subcontract,0502 Trash Removal - Recycling
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,66235,Subcontract,0201 Cleaning (Interior)
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,65622,Self Delivery,1390 Water Treatment Services
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,65041,Subcontract,0500 Trash Removal
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,63838,Subcontract,1801 Interior - Pest Control
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,62803,Subcontract,1302 Building R/M-Boiler Maint
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,62492,Subcontract,1801 Interior - Pest Control
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,62351,Subcontract,1400 Bldg R/M-Electrical Maint
Australia,Claremont,"-31.981633,115.781288",Cleaning,62237,Subcontract,0401 Cleaning Supplies & Mats
Australia,Claremont,"-31.981633,115.781288",Cleaning,61625,Subcontract,0307 High Tech Cleaning
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,61572,Subcontract,0307 High Tech Cleaning
Australia,Scoresby,"-37.898567,145.230362",Cleaning,61239,Subcontract,0310 Other Specialized Clng
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,61178,Subcontract,0506 Trash Removal-Confidntl
Singapore,Jurong,"1.364434,103.775263",Security,60982,Subcontract,4200 Security - Guards
Singapore,Keppel Bay Towers,"1.352083,103.819836",Mail Room & Reception,60925,Self Delivery,5710 Reception Services
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,60713,Subcontract,1315 Refrigerator Sys Maint
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,60370,Subcontract,1349 Mechanical Systems Maint
Australia,South Wharf,"-37.824997,144.951999",Cleaning,59673,Subcontract,0301 Window Cleaning
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,59446,Subcontract,1315 Refrigerator Sys Maint
New Zealand,Dunedin,"-45.87876,170.502798","E, H, S & Q, compliance",58988,Self Delivery,8215 Env Health and Safety
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,58496,Subcontract,0506 Trash Removal-Confidntl
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,58224,Subcontract,0302 Carpet Cleaning
India,Mumbai EC,"19.030029,72.861308",Cleaning,57943,Subcontract,0500 Trash Removal
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,57943,Subcontract,0311 External Area Cleaning
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,57943,Subcontract,0301 Window Cleaning
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,57746,Subcontract,0502 Trash Removal - Recycling
Australia,Scoresby,"-37.898567,145.230362",Cleaning,57643,Subcontract,0502 Trash Removal - Recycling
New Zealand,Auckland DC,"-36.84846,174.763332",Security,56715,Subcontract,4200 Security - Guards
Australia,Scoresby,"-37.898567,145.230362",Cleaning,55941,Subcontract,0301 Window Cleaning
Australia,Scoresby,"-37.898567,145.230362",Cleaning,55525,Subcontract,1801 Interior - Pest Control
Australia,Ringwood,"-37.814262,145.227386",Building Fabric,139949,Self Delivery,1100 Building Maint Services
Australia,Claremont,"-31.981633,115.781288",Mail Room & Reception,54847,Self Delivery,5710 Reception Services
Australia,South Wharf,"-37.824997,144.951999",Cleaning,53196,Subcontract,0506 Trash Removal-Confidntl
Australia,Port Melbourne,"-37.836926,144.94455","E, H, S & Q, compliance",52863,Self Delivery,8215 Env Health and Safety
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,52784,Subcontract,0401 Cleaning Supplies & Mats
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,164040,Subcontract,1315 Refrigerator Sys Maint
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,51288,Subcontract,0506 Trash Removal-Confidntl
New Zealand,Dunedin,"-45.87876,170.502798",Building Fabric,51100,Self Delivery,1100 Building Maint Services
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,50082,Subcontract,1801 Interior - Pest Control
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,49940,Subcontract,0506 Trash Removal-Confidntl
India,Baddi,"30.957826,76.791356",Cleaning,49542,Subcontract,0302 Carpet Cleaning
India,Baddi,"30.957826,76.791356",M&E Equipment,49450,Subcontract,1600 Maint-Plumbing
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,49225,Subcontract,1305 Bldg R/M-CntrlSys Maint
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,48725,Subcontract,1802 Interior - Signage
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,48699,Subcontract,1302 Building R/M-Boiler Maint
Thailand,Lad Krabang,"13.722049,100.784157",Building Fabric,48505,Self Delivery,1201 Goods Elevator Maint
Australia,Ringwood,"-37.814262,145.227386",Catering,48009,Subcontract,8024 Catering - Hospitality
Australia,Scoresby,"-37.898567,145.230362",Cleaning,47814,Subcontract,0311 External Area Cleaning
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,47504,Subcontract,8133 Maintenance Mgt System
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,47335,Subcontract,1305 Bldg R/M-CntrlSys Maint
Australia,Claremont,"-31.981633,115.781288",Cleaning,47322,Subcontract,0301 Window Cleaning
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,47104,Subcontract,1440 Communications Sys Maint
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,47030,Subcontract,1315 Refrigerator Sys Maint
Australia,Scoresby,"-37.898567,145.230362",Cleaning,46980,Subcontract,0506 Trash Removal-Confidntl
Australia,Scoresby,"-37.898567,145.230362",M&E Equipment,46695,Subcontract,1305 Bldg R/M-CntrlSys Maint
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,46308,Subcontract,1906 Appliance Maint&Testing
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,46211,Subcontract,1305 Bldg R/M-CntrlSys Maint
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,45942,Subcontract,1600 Maint-Plumbing
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,45695,Subcontract,1906 Appliance Maint&Testing
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,45657,Subcontract,8133 Maintenance Mgt System
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,45617,Subcontract,0404 Laundry Services
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,45617,Subcontract,1303 Building Chiller Maint
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,45606,Subcontract,1315 Refrigerator Sys Maint
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,45559,Subcontract,0201 Cleaning (Interior)
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,45178,Subcontract,1301 Ventilation System Maint
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,45059,Subcontract,1802 Interior - Signage
New Zealand,Dunedin,"-45.87876,170.502798",Cleaning,44929,Subcontract,0500 Trash Removal
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,44662,Subcontract,1906 Appliance Maint&Testing
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,44577,Subcontract,0500 Trash Removal
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,44383,Subcontract,1315 Refrigerator Sys Maint
Singapore,Jurong,"1.364434,103.775263",M&E Equipment,44096,Subcontract,1440 Communications Sys Maint
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,44029,Subcontract,1306 Lighting Cntrl Sys Maint
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,44005,Subcontract,8133 Maintenance Mgt System
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,43911,Subcontract,1302 Building R/M-Boiler Maint
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,43890,Subcontract,1802 Interior - Signage
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,43816,Subcontract,1349 Mechanical Systems Maint
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,43785,Subcontract,1305 Bldg R/M-CntrlSys Maint
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,43604,Subcontract,1305 Bldg R/M-CntrlSys Maint
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,43304,Subcontract,1302 Building R/M-Boiler Maint
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,43202,Subcontract,1906 Appliance Maint&Testing
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,42908,Subcontract,1303 Building Chiller Maint
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,42537,Subcontract,1306 Lighting Cntrl Sys Maint
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,42229,Subcontract,1180 Compressed Air System
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,42156,Subcontract,1180 Compressed Air System
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,41921,Subcontract,1305 Bldg R/M-CntrlSys Maint
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,41893,Subcontract,0311 External Area Cleaning
Australia,South Wharf,"-37.824997,144.951999",Cleaning,41442,Subcontract,0500 Trash Removal
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,41303,Subcontract,1906 Appliance Maint&Testing
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,41214,Subcontract,1310 Central Plant Maintenance
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,41179,Subcontract,1400 Bldg R/M-Electrical Maint
India,Mumbai EC,"19.030029,72.861308",Cleaning,41152,Subcontract,0404 Laundry Services
Singapore,Keppel Bay Towers,"1.352083,103.819836",Cleaning,41152,Subcontract,0307 High Tech Cleaning
Thailand,Lad Krabang,"13.722049,100.784157",Cleaning,41152,Subcontract,0500 Trash Removal
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,41023,Subcontract,1431 UPS System Maintenance
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,40993,Subcontract,0502 Trash Removal - Recycling
Singapore,Jurong,"1.364434,103.775263",Cleaning,40956,Subcontract,0404 Laundry Services
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,40784,Subcontract,1906 Appliance Maint&Testing
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,120014,Subcontract,1302 Building R/M-Boiler Maint
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,40335,Subcontract,1802 Interior - Signage
Australia,Dandenong VDC,"-37.98746,145.214861",Cleaning,40061,Subcontract,1801 Interior - Pest Control
Australia,Port Melbourne,"-37.836926,144.94455",Building Fabric,39974,Self Delivery,1850 Ext-Building Repair&Maint
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,39797,Subcontract,1301 Ventilation System Maint
India,Baddi,"30.957826,76.791356",M&E Equipment,39717,Subcontract,1310 Central Plant Maintenance
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,39657,Subcontract,1400 Bldg R/M-Electrical Maint
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,39301,Subcontract,1306 Lighting Cntrl Sys Maint
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,39214,Subcontract,1180 Compressed Air System
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,39128,Subcontract,1431 UPS System Maintenance
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,39099,Subcontract,1300 Building R/M-HVAC Maint
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,39031,Subcontract,1431 UPS System Maintenance
New Zealand,Avondale,"-36.894517,174.696524",M&E Equipment,38907,Subcontract,1302 Building R/M-Boiler Maint
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,38820,Subcontract,1801 Interior - Pest Control
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,38542,Subcontract,1310 Central Plant Maintenance
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,38357,Subcontract,8133 Maintenance Mgt System
New Zealand,Dunedin,"-45.87876,170.502798",M&E Equipment,38091,Subcontract,1310 Central Plant Maintenance
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,38032,Subcontract,8133 Maintenance Mgt System
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,37887,Subcontract,1302 Building R/M-Boiler Maint
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,37660,Subcontract,1180 Compressed Air System
India,Baddi,"30.957826,76.791356",Cleaning,37536,Subcontract,0301 Window Cleaning
Australia,Port Melbourne,"-37.836926,144.94455",Cleaning,37240,Subcontract,0401 Cleaning Supplies & Mats
Australia,Ringwood,"-37.814262,145.227386",Cleaning,37045,Subcontract,0301 Window Cleaning
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,36801,Subcontract,1600 Maint-Plumbing
India,Baddi,"30.957826,76.791356",Cleaning,36604,Subcontract,0506 Trash Removal-Confidntl
India,Baddi,"30.957826,76.791356",M&E Equipment,36533,Subcontract,1302 Building R/M-Boiler Maint
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,36429,Subcontract,1400 Bldg R/M-Electrical Maint
Australia,South Wharf,"-37.824997,144.951999",Security,36353,Subcontract,4300 Security - Monitoring
India,Baddi,"30.957826,76.791356",M&E Equipment,36258,Subcontract,1440 Communications Sys Maint
Singapore,Jurong,"1.364434,103.775263",Cleaning,36146,Subcontract,0201 Cleaning (Interior)
Australia,Scoresby,"-37.898567,145.230362",Fire and Security Equipment,35999,Subcontract,1700 Maint Fire/Life Safety
Australia,Claremont,"-31.981633,115.781288",Fire and Security Equipment,35898,Subcontract,1700 Maint Fire/Life Safety
India,Baddi,"30.957826,76.791356",M&E Equipment,35568,Subcontract,1802 Interior - Signage
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,35462,Subcontract,1301 Ventilation System Maint
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,35362,Subcontract,1440 Communications Sys Maint
Australia,Dandenong VDC,"-37.98746,145.214861",M&E Equipment,35353,Subcontract,1303 Building Chiller Maint
Australia,South Wharf,"-37.824997,144.951999",Cleaning,35262,Subcontract,0310 Other Specialized Clng
India,Mumbai EC,"19.030029,72.861308",M&E Equipment,35257,Subcontract,1400 Bldg R/M-Electrical Maint
New Zealand,Avondale,"-36.894517,174.696524",Cleaning,35013,Subcontract,0201 Cleaning (Interior)
Singapore,Jurong,"1.364434,103.775263",Cleaning,34987,Subcontract,1801 Interior - Pest Control
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,34956,Subcontract,1349 Mechanical Systems Maint
Australia,State Sales Offices,"-37.814107,144.96328",Cleaning,34867,Subcontract,0302 Carpet Cleaning
New Zealand,Auckland DC,"-36.84846,174.763332",Cleaning,34819,Subcontract,0404 Laundry Services
Australia,Port Melbourne,"-37.836926,144.94455",M&E Equipment,34558,Subcontract,8133 Maintenance Mgt System
New Zealand,Auckland DC,"-36.84846,174.763332",M&E Equipment,34460,Subcontract,1802 Interior - Signage
Singapore,Keppel Bay Towers,"1.352083,103.819836",M&E Equipment,34213,Subcontract,1431 UPS System Maintenance
Thailand,Lad Krabang,"13.722049,100.784157",M&E Equipment,34151,Subcontract,1440 Communications Sys Maint
Singapore,Keppel Bay Towers,"1.352083,103.819836",Building Fabric,34011,Self Delivery,1100 Building Maint Services
Australia,State Sales Offices,"-37.814107,144.96328",M&E Equipment,33886,Subcontract,1802 Interior - Signage
Australia,State Sales Offices,"-37.814107,144.96328",FM management & administration,33490,Self Delivery,5000 Admin Support Services
Australia,Ringwood,"-37.814262,145.227386",M&E Equipment,33432,Subcontract,1305 Bldg R/M-CntrlSys Maint
India,Baddi,"30.957826,76.791356",M&E Equipment,33399,Subcontract,1303 Building Chiller Maint
Australia,Claremont,"-31.981633,115.781288",M&E Equipment,33085,Subcontract,1440 Communications Sys Maint
Australia,South Wharf,"-37.824997,144.951999",M&E Equipment,32684,Subcontract,1301 Ventilation System Maint
India,Baddi,"30.957826,76.791356",M&E Equipment,32570,Subcontract,1315 Refrigerator Sys Maint
